clean_symbol,token,name
111NSETEST,14774,111NSETEST
151NSETEST,14782,151NSETEST
OMAXE,14853,OMAXE
SHIVAMILLS,1497,SHIVAMILLS
KSCL,14972,KSCL
RELIGARE,15068,RELIGARE
ASTERDM,1508,ASTERDM
EDELWEISS,15119,EDELWEISS
JYOTHYLAB,15146,JYOTHYLAB
INDIACEM,1515,INDIACEM
HITECHCORP,15161,HITECHCORP
APCOTEXIND,154,APCOTEXIND
JKIL,15266,JKIL
TITAGARH,15414,TITAGARH
ACL,15420,ACL
GMMPFAUDLR,1570,GMMPFAUDLR
PTCIL,16682,PTCIL
LOTUSEYE,16807,LOTUSEYE
INDBANK,16933,INDBANK
ALKALI,16959,ALKALI
ARMANFIN,17263,ARMANFIN
NAGAFERT,17295,NAGAFERT
UTKARSHBNK,17358,UTKARSHBNK
INCREDIBLE,17507,INCREDIBLE
DAMODARIND,17541,DAMODARIND
ZYDUSWELL,17635,ZYDUSWELL
POKARNA,17651,POKARNA
GPTINFRA,17685,GPTINFRA
REDTAPE,17859,REDTAPE
SBFC,18026,SBFC
VASCONEQ,18110,VASCONEQ
THANGAMAYL,18118,THANGAMAYL
TEXMOPIPES,18214,TEXMOPIPES
PYRAMID,18250,PYRAMID
HDFCLIQUID,18279,HDFCLIQUID
LGBBROSLTD,18321,LGBBROSLTD
KARURVYSYA,1838,KARURVYSYA
MOM50,19289,MOM50
SPCENET,19372,SPCENET
DMART,19913,DMART
EGOLD,19933,EGOLD
RAMKY,20134,RAMKY
JWL,20224,JWL
TATATECH,20293,TATATECH
NACLIND,20425,NACLIND
ASHIMASYN,206,ASHIMASYN
AXISGOLD,20532,AXISGOLD
INOXINDIA,20607,INOXINDIA
PSPPROJECT,20877,PSPPROJECT
KIRLOSENG,20936,KIRLOSENG
MANGLMCEM,2106,MANGLMCEM
ERIS,21154,ERIS
AUBANK,21238,AUBANK
AVADHSUGAR,21406,AVADHSUGAR
SIS,21501,SIS
TCPLPACK,184,TCPLPACK
ASIANHOTNR,18422,ASIANHOTNR
TVVISION,18504,TVVISION
GNA,18571,GNA
KIOCL,19126,KIOCL
SFL,19184,SFL
EMAMIREAL,19277,EMAMIREAL
TERASOFT,19292,TERASOFT
TICL,19501,TICL
PRICOLLTD,19631,PRICOLLTD
GPPL,19731,GPPL
ESAFSFB,19878,ESAFSFB
OBEROIRLTY,20242,OBEROIRLTY
INDIGOPNTS,2048,INDIGOPNTS
WIPL,20481,WIPL
CHENNPETRO,2049,CHENNPETRO
PENIND,20621,PENIND
JAMNAAUTO,20778,JAMNAAUTO
MUTHOOTMF,20831,MUTHOOTMF
MAHSEAMLES,2088,MAHSEAMLES
ZEELEARN,20852,ZEELEARN
INNOVACAP,21062,INNOVACAP
DIGIDRIVE,21247,DIGIDRIVE
DYNPRO,21314,DYNPRO
MAGADSUGAR,21392,MAGADSUGAR
MFSL,2142,MFSL
MOM100,21423,MOM100
TATSILV,21428,TATSILV
OPTIEMUS,21469,OPTIEMUS
HALEOSLABS,21551,HALEOSLABS
BRNL,21683,BRNL
MATRIMONY,21726,MATRIMONY
GENCON,2188,GENCON
HFCL,21951,HFCL
WORTHPERI,22277,WORTHPERI
ALPL30IETF,22344,ALPL30IETF
MOREPENLAB,2259,MOREPENLAB
VSTL,22730,VSTL
SMALLCAP,22832,SMALLCAP
GOLDCASE,22901,GOLDCASE
JGCHEM,23056,JGCHEM
NCC,2319,NCC
LIQUIDADD,23407,LIQUIDADD
ASIANPAINT,236,ASIANPAINT
GLOSTERLTD,23590,GLOSTERLTD
MUTHOOTFIN,23650,MUTHOOTFIN
